replicate	reference_component	replicate_component	matched	signed_similarity	absolute_similarity	orientation	assignment_margin	index_recurrent	proposal_rank	rank_one	nominated_reference
20	2	2	TRUE	0.993734188084936	0.993734188084936	1	0.886430507257766	TRUE	2	FALSE	FALSE
20	3	3	TRUE	-0.994082685010858	0.994082685010858	-1	0.96918124027083	TRUE	3	FALSE	FALSE
21	1	1	TRUE	0.994319562214578	0.994319562214578	1	0.89014625498978	TRUE	1	TRUE	TRUE
21	2	2	TRUE	-0.994529136773874	0.994529136773874	-1	0.890256099430488	TRUE	2	FALSE	FALSE
21	3	3	TRUE	-0.999969385512268	0.999969385512268	-1	0.993774382510155	TRUE	3	FALSE	FALSE
22	1	1	TRUE	0.980170151272857	0.980170151272857	1	0.787843213825896	TRUE	1	TRUE	TRUE
22	2	2	TRUE	0.980749602146669	0.980749602146669	1	0.787169850370459	TRUE	3	FALSE	FALSE
22	3	3	TRUE	-0.991224485801591	0.991224485801591	-1	0.952633719057775	TRUE	2	FALSE	FALSE
23	1	1	TRUE	0.982050970776943	0.982050970776943	1	0.795189673867056	TRUE	1	TRUE	TRUE
23	2	2	TRUE	-0.978571745458591	0.978571745458591	-1	0.793079683196486	TRUE	2	FALSE	FALSE
23	3	3	TRUE	0.710011027613969	0.710011027613969	1	0.635010293543486	TRUE	3	FALSE	FALSE
24	1	1	TRUE	0.999296787776389	0.999296787776389	1	0.969923599860611	TRUE	1	TRUE	TRUE
24	2	2	TRUE	-0.999566387070365	0.999566387070365	-1	0.97340838706389	TRUE	2	FALSE	FALSE
24	3	3	TRUE	-0.993420516281363	0.993420516281363	-1	0.96174015590883	TRUE	3	FALSE	FALSE
25	1	1	TRUE	0.974975102073814	0.974975102073814	1	0.756542819663674	TRUE	1	TRUE	TRUE
25	2	2	TRUE	0.963957332507244	0.963957332507244	1	0.743043917607896	TRUE	2	FALSE	FALSE
25	3	3	TRUE	0.837938017049138	0.837938017049138	1	0.689337602135363	TRUE	3	FALSE	FALSE
26	1	1	TRUE	0.941598684219396	0.941598684219396	1	0.612857145376823	TRUE	1	TRUE	TRUE
26	2	2	TRUE	-0.93720664676001	0.93720664676001	-1	0.602428355412435	TRUE	2	FALSE	FALSE
26	3	3	TRUE	-0.979994959148103	0.979994959148103	-1	0.863513083617614	TRUE	3	FALSE	FALSE
27	1	1	TRUE	0.964308053667211	0.964308053667211	1	0.703472251027941	TRUE	1	TRUE	TRUE
27	2	2	TRUE	0.955111034869397	0.955111034869397	1	0.69092045199909	TRUE	2	FALSE	FALSE
27	3	3	TRUE	0.98339882947078	0.98339882947078	1	0.873217140185119	TRUE	3	FALSE	FALSE
28	1	1	TRUE	0.979887226136362	0.979887226136362	1	0.782173044326571	TRUE	1	TRUE	TRUE
28	2	2	TRUE	0.979452819286094	0.979452819286094	1	0.783054450232608	TRUE	2	FALSE	FALSE
28	3	3	TRUE	0.644485960958529	0.644485960958529	1	0.623604202401084	TRUE	3	FALSE	FALSE
29	1	1	TRUE	0.998264403729044	0.998264403729044	1	0.955036256026015	TRUE	1	TRUE	TRUE
29	2	3	TRUE	-0.0508390600243013	0.0508390600243013	-1	0.035664268687311	FALSE	3	FALSE	FALSE
29	3	2	TRUE	0.988396902444517	0.988396902444517	1	0.841873443982337	FALSE	2	FALSE	FALSE
30	1	1	TRUE	0.991861398861732	0.991861398861732	1	0.867015425547135	TRUE	1	TRUE	TRUE
30	2	2	TRUE	-0.988855354746338	0.988855354746338	-1	0.86301140195402	TRUE	2	FALSE	FALSE
30	3	3	TRUE	0.964590706743576	0.964590706743576	1	0.88516443131514	TRUE	3	FALSE	FALSE
31	1	1	TRUE	0.99983891885478	0.99983891885478	1	0.986208194555645	TRUE	1	TRUE	TRUE
31	2	2	TRUE	-0.994770994601499	0.994770994601499	-1	0.920469230858242	TRUE	2	FALSE	FALSE
31	3	3	TRUE	0.956154810728811	0.956154810728811	1	0.865211674819223	TRUE	3	FALSE	FALSE
32	1	1	TRUE	0.942108384424621	0.942108384424621	1	0.617397198273113	TRUE	1	TRUE	TRUE
32	2	2	TRUE	0.935615165480109	0.935615165480109	1	0.602896364866876	TRUE	2	FALSE	FALSE
32	3	3	TRUE	-0.0831907536434756	0.0831907536434756	-1	-0.0546041269694559	TRUE	3	FALSE	FALSE
33	1	1	TRUE	0.954850784267063	0.954850784267063	1	0.658115828055816	TRUE	1	TRUE	TRUE
33	2	2	TRUE	0.95339408390994	0.95339408390994	1	0.657440673529242	TRUE	3	FALSE	FALSE
