experiment,matrix_sample_id,include,exclusion_reason,genotype,temperature_c,stage,day,tissue,biological_unit,source_group,source_deg_id,metadata_status,source_library_keys,source_specimen_ids,source_pool_composition,genotype_confidence,temperature_confidence,stage_confidence,source_registry_refcodes,defect_flag
gonad_temperature,SW_28ZWC6_1aGonad_1,true,,ZW,28,S6,,gonad,independent destructive sample,ZW_28C_S6,SW_28ZWC6_1aGonad_1,master_registry_matched,SW_28ZWC6_1a,SW_28ZWC6_1a,,authoritative,high,high,195,
gonad_temperature,SW_28ZWC6_1bGonad_1,true,,ZZ,28,S6,,gonad,independent destructive sample,ZZ_28C_S6,SW_28ZWC6_1bGonad_1,master_registry_matched,SW_28ZWC6_1b,SW_28ZWC6_1b,,authoritative,high,high,209,
gonad_temperature,SW_28ZWC6_3aGonad_1,true,,ZZ,28,S15,,gonad,independent destructive sample,ZZ_28C_S15,SW_28ZWC6_3aGonad_1,master_registry_matched,SW_28ZWC6_3a,SW_28ZWC6_3a,,authoritative,high,high,221,
gonad_temperature,SW_28ZWC6_3bGonad_1,true,,ZZ,28,S15,,gonad,independent destructive sample,ZZ_28C_S15,SW_28ZWC6_3bGonad_1,master_registry_matched,SW_28ZWC6_3b,SW_28ZWC6_3b,,authoritative,high,high,222,
gonad_temperature,SW_3506zw_18_1_10_gonad_1,true,,ZW,28,S15,,gonad,independent destructive sample,ZW_28C_S15,SW_3506zw_18_1_10_gonad_1,master_registry_matched,Pit_3506zw_18_1_10,SW_3506zw:18:1:10,,authoritative,high,high,141,
gonad_temperature,SW_3506zw_18_1_8_gonad_1,true,,ZW,28,S15,,gonad,independent destructive sample,ZW_28C_S15,SW_3506zw_18_1_8_gonad_1,master_registry_matched,Pit_3506zw_18_1_8,SW_3506zw:18:1:8,,authoritative,high,high,142,
gonad_temperature,SW_36C1_1aGonad_1,true,,ZZ,36,S6,,gonad,independent destructive sample,ZZ_36C_S6,SW_36C1_1aGonad_1,master_registry_matched,SW_36C1_1a,SW_36C1_1a,,authoritative,high,high,242,
gonad_temperature,SW_36C1_1bGonad_1,true,,ZZ,36,S6,,gonad,independent destructive sample,ZZ_36C_S6,SW_36C1_1bGonad_1,master_registry_matched,SW_36C1_1b,SW_36C1_1b,,authoritative,high,high,243,
gonad_temperature,SW_36C1_2aGonad_1,true,,ZZ,36,S12,,gonad,independent destructive sample,ZZ_36C_S12,SW_36C1_2aGonad_1,master_registry_matched,SW_36C1_2a,SW_36C1_2a,,authoritative,high,high,248,
gonad_temperature,SW_36C1_2bGonad_1,true,,ZZ,36,S12,,gonad,independent destructive sample,ZZ_36C_S12,SW_36C1_2bGonad_1,master_registry_matched,SW_36C1_2b,SW_36C1_2b,,authoritative,high,high,249,
gonad_temperature,SW_36C1_3aGonad_1,true,,ZZ,36,S15,,gonad,independent destructive sample,ZZ_36C_S15,SW_36C1_3aGonad_1,master_registry_matched,SW_36C1_3a,SW_36C1_3a,,authoritative,high,high,254,
gonad_temperature,SW_36C1_3bGonad_1,true,,ZZ,36,S15,,gonad,independent destructive sample,ZZ_36C_S15,SW_36C1_3bGonad_1,master_registry_matched,SW_36C1_3b,SW_36C1_3b,,authoritative,high,high,255,
gonad_temperature,SW_36C2_1aGonad_1,true,,ZZ,36,S6,,gonad,independent destructive sample,ZZ_36C_S6,SW_36C2_1aGonad_1,master_registry_matched,SW_36C2_1a,SW_36C2_1a,,authoritative,high,high,244,
gonad_temperature,SW_36C2_1bGonad_1,true,,ZZ,36,S6,,gonad,independent destructive sample,ZZ_36C_S6,SW_36C2_1bGonad_1,master_registry_matched,SW_36C2_1b,SW_36C2_1b,,authoritative,high,high,245,
